Pais,Ano,Valor,Var_EU
Albânia,1997,169.28,76
Austria,1997,171.07,76
Austria,1995,173.74,74
Albânia,1998,169.93,79
Austria,1998,166.72,77
Austria,1996,176.42,76
Albânia,1999,204.42,100
Albânia,2000,186.47,96
Albânia,2001,173.14,91
Albânia,2002,178.7,97
Albânia,2003,163.49,89
Albânia,2004,166.77,93
Albânia,2005,155.61,90
Albânia,2006,139.73,85
Albânia,2007,120.42,79
Albânia,2008,113.73,77
Albânia,2009,111.46,77
Albânia,2010,101.4,70
Albânia,2011,101.62,74
Albânia,2012,89.75,67
Albânia,2013,108.03,82
Albânia,2014,101.92,82
Albânia,2015,91.89,76
Albânia,2016,95.55,80
Albânia,2017,95.71,82
Albânia,2018,91.41,82
Albânia,2019,87.96,83
Albânia,2020,84.63,83
Albânia,2021,80.71,82
Albânia,2022,66.62,77
Austria,1999,159.59,78
Austria,2000,150.44,77
Austria,2001,156.82,82
Austria,2002,151.34,82
Austria,2003,153.27,83
Austria,2004,147.9,83
Austria,2005,146.83,85
Austria,2006,141.24,86
Austria,2007,132.95,87
Austria,2008,129.77,88
Austria,2009,127.46,88
Austria,2010,131.92,91
Austria,2011,122.54,90
Austria,2012,117.45,88
Austria,2013,117.4,90
Austria,2014,111.23,90
Austria,2015,109.61,91
Austria,2016,107.59,91
Austria,2017,107,92
Austria,2018,100.23,90
Austria,2019,99.81,94
Austria,2020,97.06,96
Austria,2021,95.35,96
Austria,2022,81.74,94
Austria,2023,75.68,97
Bósnia-Hezergovina,2014,210.4,170
Bósnia-Hezergovina,2015,206.37,171
Bósnia-Hezergovina,2016,217.48,183
Bósnia-Hezergovina,2017,210.48,181
Bósnia-Hezergovina,2018,219.15,196
Bósnia-Hezergovina,2019,202.3,190
Bósnia-Hezergovina,2020,206.03,203
Bósnia-Hezergovina,2021,194.32,197
Bósnia-Hezergovina,2022,173.43,200
Bélgica,1995,304.56,130
Bélgica,1996,314.51,136
Bélgica,1997,308.79,138
Bélgica,1998,309.17,143
Bélgica,1999,291.5,142
Bélgica,2000,273.8,140
Bélgica,2001,261.68,137
Bélgica,2002,248.02,134
Bélgica,2003,253.42,138
Bélgica,2004,246.83,138
Bélgica,2005,235.07,137
Bélgica,2006,226.26,138
Bélgica,2007,216.6,142
Bélgica,2008,219.25,148
Bélgica,2009,206.04,142
Bélgica,2010,207.78,143
Bélgica,2011,186.88,137
Bélgica,2012,173.32,129
Bélgica,2013,177.35,135
Bélgica,2014,162.71,131
Bélgica,2015,159.37,132
Bélgica,2016,165.73,139
Bélgica,2017,162.82,140
Bélgica,2018,157.42,141
Bélgica,2019,151.78,143
Bélgica,2020,139.78,138
Bélgica,2021,142.46,144
Bélgica,2022,119.07,138
Bélgica,2023,105.51,135
Bulgária,1995,433.72,185
Bulgária,1996,481.35,208
Bulgária,1997,525.16,234
Bulgária,1998,475.89,220
Bulgária,1999,459.97,225
Bulgária,2000,429.07,220
Bulgária,2001,423.65,222
Bulgária,2002,381.72,207
Bulgária,2003,364.98,198
Bulgária,2004,328.96,184
Bulgária,2005,312.87,182
Bulgária,2006,301.75,184
Bulgária,2007,267.18,175
Bulgária,2008,241.7,164
Bulgária,2009,223.03,154
Bulgária,2010,215.17,148
Bulgária,2011,223.58,163
Bulgária,2012,209.59,156
Bulgária,2013,196.78,150
Bulgária,2014,196.91,159
Bulgária,2015,197.83,164
Bulgária,2016,184.94,156
Bulgária,2017,182.37,157
Bulgária,2018,173.09,155
Bulgária,2019,162.51,153
Bulgária,2020,155.37,153
Bulgária,2021,151.21,153
Bulgária,2022,137.52,159
Bulgária,2023,110.27,141
Chipre,1995,219.04,94
Chipre,1996,231.26,100
Chipre,1997,220.99,99
Chipre,1998,221.79,103
Chipre,1999,214.56,105
Chipre,2000,213.03,109
Chipre,2001,198.76,104
Chipre,2002,190.01,103
Chipre,2003,195.85,106
Chipre,2004,166.4,93
Chipre,2005,168.87,98
Chipre,2006,164.15,100
Chipre,2007,152.57,100
Chipre,2008,149.28,101
Chipre,2009,148.2,102
Chipre,2010,140.02,96
Chipre,2011,137.42,100
Chipre,2012,134.35,100
Chipre,2013,128.85,98
Chipre,2014,134.4,109
Chipre,2015,130.68,108
Chipre,2016,129.61,109
Chipre,2017,124.66,107
Chipre,2018,120.22,107
Chipre,2019,112.22,106
Chipre,2020,103.58,102
Chipre,2021,93.9,95
Chipre,2022,88.63,102
Chipre,2023,81.55,105
Chequia,1995,346.89,148
Chequia,1996,333.19,144
Chequia,1997,337.72,151
Chequia,1998,325.87,151
Chequia,1999,294.84,144
Chequia,2000,296.88,152
Chequia,2001,282.9,148
Chequia,2002,280.07,152
Chequia,2003,273.3,148
Chequia,2004,262.98,147
Chequia,2005,246.25,143
Chequia,2006,239.22,146
Chequia,2007,217.6,142
Chequia,2008,202.63,137
Chequia,2009,196.15,135
Chequia,2010,203.68,140
Chequia,2011,190.77,139
Chequia,2012,189.11,141
Chequia,2013,184.64,141
Chequia,2014,170.12,137
Chequia,2015,162.71,135
Chequia,2016,155.76,131
Chequia,2017,151.82,130
Chequia,2018,145.41,130
Chequia,2019,135.64,128
Chequia,2020,131.59,130
Chequia,2021,129.01,130
Chequia,2022,117.65,136
Chequia,2023,101.21,130
Alemanha,1995,212.36,91
Alemanha,1996,211.4,91
Alemanha,1997,208.09,93
Alemanha,1998,201.44,93
Alemanha,1999,188.29,92
Alemanha,2000,183.75,94
Alemanha,2001,181.4,95
Alemanha,2002,173.83,94
Alemanha,2003,169.44,92
Alemanha,2004,163.71,92
Alemanha,2005,159.92,93
Alemanha,2006,158.07,96
Alemanha,2007,142.89,93
Alemanha,2008,141.57,96
Alemanha,2009,139.62,96
Alemanha,2010,138.68,95
Alemanha,2011,124.63,91
Alemanha,2012,124.18,93
Alemanha,2013,124.72,95
Alemanha,2014,114.62,93
Alemanha,2015,112.44,93
Alemanha,2016,109.46,92
Alemanha,2017,105.58,91
Alemanha,2018,100.07,89
Alemanha,2019,96.65,91
Alemanha,2020,91.81,90
Alemanha,2021,90.16,91
Alemanha,2022,80.32,93
Alemanha,2023,69.58,89
Dinamarca,1995,218.12,93
Dinamarca,1996,228.55,99
Dinamarca,1997,204.21,91
Dinamarca,1998,195.11,90
Dinamarca,1999,180.06,88
Dinamarca,2000,163.69,84
Dinamarca,2001,162,85
Dinamarca,2002,152.97,83
Dinamarca,2003,159.79,87
Dinamarca,2004,144.71,81
Dinamarca,2005,135.53,79
Dinamarca,2006,137.64,84
Dinamarca,2007,129.54,85
Dinamarca,2008,119.61,81
Dinamarca,2009,118.11,81
Dinamarca,2010,116.31,80
Dinamarca,2011,106.49,78
Dinamarca,2012,101.1,75
Dinamarca,2013,99.52,76
Dinamarca,2014,93.36,75
Dinamarca,2015,90.26,75
Dinamarca,2016,89.32,75
Dinamarca,2017,84.09,72
Dinamarca,2018,82.24,73
Dinamarca,2019,79.02,74
Dinamarca,2020,71.03,70
Dinamarca,2021,67.06,68
Dinamarca,2022,58.95,68
Dinamarca,2023,57.79,74
Estónia,1995,733.34,313
Estónia,1996,721.39,312
Estónia,1997,618.22,276
Estónia,1998,547.65,253
Estónia,1999,517.93,253
Estónia,2000,440.22,226
Estónia,2001,428.25,224
Estónia,2002,360.17,195
Estónia,2003,344.53,187
Estónia,2004,342.51,192
Estónia,2005,304.15,177
Estónia,2006,273.17,166
Estónia,2007,281.66,184
Estónia,2008,246.94,167
Estónia,2009,225.58,156
Estónia,2010,281.86,194
Estónia,2011,244.16,179
Estónia,2012,221.61,165
Estónia,2013,237.81,181
Estónia,2014,213.03,172
Estónia,2015,182.8,151
Estónia,2016,215.53,181
Estónia,2017,199.7,171
Estónia,2018,181.05,162
Estónia,2019,145.65,137
Estónia,2020,138.68,137
Estónia,2021,129.81,131
Estónia,2022,127.14,147
Estónia,2023,105.81,136
Grécia,1995,201.09,86
Grécia,1996,192.56,83
Grécia,1997,190.46,85
Grécia,1998,192.51,89
Grécia,1999,186.48,91
Grécia,2000,186.54,96
Grécia,2001,176.79,93
Grécia,2002,164.83,89
Grécia,2003,159.36,86
Grécia,2004,152.1,85
Grécia,2005,150.82,88
Grécia,2006,139.39,85
Grécia,2007,136.44,89
Grécia,2008,131.9,89
Grécia,2009,131.15,90
Grécia,2010,132.52,91
Grécia,2011,142.49,104
Grécia,2012,147.21,110
Grécia,2013,128.64,98
Grécia,2014,125.26,101
Grécia,2015,125.01,103
Grécia,2016,123.26,104
Grécia,2017,125.23,107
Grécia,2018,120.03,107
Grécia,2019,117.13,110
Grécia,2020,109.38,108
Grécia,2021,104.21,105
Grécia,2022,93.88,108
Grécia,2023,84.13,108
Espanha,1995,195.51,84
Espanha,1996,184.78,80
Espanha,1997,189.28,84
Espanha,1998,186.74,86
Espanha,1999,185.16,90
Espanha,2000,178.86,92
Espanha,2001,172.69,90
Espanha,2002,166.42,90
Espanha,2003,164.14,89
Espanha,2004,162.21,91
Espanha,2005,154.29,90
Espanha,2006,140.9,86
Espanha,2007,133.74,87
Espanha,2008,126.53,86
Espanha,2009,123.29,85
Espanha,2010,123.55,85
Espanha,2011,123.87,91
Espanha,2012,124.91,93
Espanha,2013,116.68,89
Espanha,2014,112.17,91
Espanha,2015,110.93,92
Espanha,2016,108.3,91
Espanha,2017,107.67,92
Espanha,2018,105.51,94
Espanha,2019,99.32,93
Espanha,2020,99.32,98
Espanha,2021,95.09,96
Espanha,2022,87.07,101
Espanha,2023,76.19,98
EU27,1995,234.08,100
EU27,1996,231.14,100
EU27,1997,224,100
EU27,1998,216.28,100
EU27,1999,204.82,100
EU27,2000,195.12,100
EU27,2001,191,100
EU27,2002,184.7,100
EU27,2003,184.24,100
EU27,2004,178.69,100
EU27,2005,171.98,100
EU27,2006,164.16,100
EU27,2007,152.87,100
EU27,2008,147.67,100
EU27,2009,145.06,100
EU27,2010,145.39,100
EU27,2011,136.78,100
EU27,2012,134.13,100
EU27,2013,131.16,100
EU27,2014,123.74,100
EU27,2015,120.95,100
EU27,2016,118.88,100
EU27,2017,116.52,100
EU27,2018,111.96,100
EU27,2019,106.34,100
EU27,2020,101.55,100
EU27,2021,98.86,100
EU27,2022,86.53,100
EU27,2023,78,100
Finlândia,1995,352.91,151
Finlândia,1996,364.86,158
Finlândia,1997,352.62,157
Finlândia,1998,330.98,153
Finlândia,1999,312.82,153
Finlândia,2000,290.5,149
Finlândia,2001,286.45,150
Finlândia,2002,295.51,160
Finlândia,2003,305.17,166
Finlândia,2004,287.07,161
Finlândia,2005,256.8,149
Finlândia,2006,267.07,163
Finlândia,2007,239.76,157
Finlândia,2008,220.14,149
Finlândia,2009,221.26,153
Finlândia,2010,234.04,161
Finlândia,2011,217.32,159
Finlândia,2012,210.6,157
Finlândia,2013,208.1,159
Finlândia,2014,211.84,171
Finlândia,2015,198.02,164
Finlândia,2016,200.78,169
Finlândia,2017,193.7,166
Finlândia,2018,191.32,171
Finlândia,2019,184.06,173
Finlândia,2020,172.29,170
Finlândia,2021,169.62,172
Finlândia,2022,153,177
Finlândia,2023,150.12,192
França,1995,234.48,100
França,1996,237.53,103
França,1997,223.12,100
França,1998,219.73,102
França,1999,209.28,102
França,2000,196.67,101
França,2001,192.1,101
França,2002,186.17,101
França,2003,191.27,104
França,2004,188.04,105
França,2005,177.67,103
França,2006,168.18,102
França,2007,158.81,104
França,2008,156.83,106
França,2009,155.83,107
França,2010,153.9,106
França,2011,146.35,107
França,2012,146.38,109
França,2013,142.41,109
França,2014,134.97,109
França,2015,133.96,111
França,2016,129.6,109
França,2017,126.09,108
França,2018,121.55,109
França,2019,113.19,106
França,2020,105.13,104
França,2021,105.4,107
França,2022,90.57,105
França,2023,85.75,110
Croácia,1995,246.11,105
Croácia,1996,244.43,106
Croácia,1997,234.49,105
Croácia,1998,231.08,107
Croácia,1999,235.48,115
Croácia,2000,214.33,110
Croácia,2001,213.01,112
Croácia,2002,200.67,109
Croácia,2003,199.98,109
Croácia,2004,187.43,105
Croácia,2005,180.65,105
Croácia,2006,162.1,99
Croácia,2007,152.92,100
Croácia,2008,141.42,96
Croácia,2009,144.68,100
Croácia,2010,144.73,100
Croácia,2011,137.34,100
Croácia,2012,128.35,96
Croácia,2013,124.9,95
Croácia,2014,119.3,96
Croácia,2015,120.03,99
Croácia,2016,116.61,98
Croácia,2017,114.83,99
Croácia,2018,107.95,96
Croácia,2019,103.8,98
Croácia,2020,105.36,104
Croácia,2021,96.55,98
Croácia,2022,84.98,98
Croácia,2023,78.49,101
Hungria,1995,326.44,139
Hungria,1996,326.21,141
Hungria,1997,309.59,138
Hungria,1998,291.12,135
Hungria,1999,276.06,135
Hungria,2000,250.66,128
Hungria,2001,231.58,121
Hungria,2002,213.28,115
Hungria,2003,204.93,111
Hungria,2004,196.99,110
Hungria,2005,201.96,117
Hungria,2006,191.82,117
Hungria,2007,182.13,119
Hungria,2008,168.46,114
Hungria,2009,165.12,114
Hungria,2010,161.97,111
Hungria,2011,152.58,112
Hungria,2012,145.74,109
Hungria,2013,136.54,104
Hungria,2014,131.07,106
Hungria,2015,132.85,110
Hungria,2016,133.6,112
Hungria,2017,134.24,115
Hungria,2018,125.78,112
Hungria,2019,118.91,112
Hungria,2020,118.92,117
Hungria,2021,114.95,116
Hungria,2022,98.54,114
Hungria,2023,88.07,113
Irlanda,1995,191.08,82
Irlanda,1996,187.82,81
Irlanda,1997,182.6,82
Irlanda,1998,173.21,80
Irlanda,1999,164.39,80
Irlanda,2000,152.14,78
Irlanda,2001,146.9,77
Irlanda,2002,136.93,74
Irlanda,2003,125.2,68
Irlanda,2004,118.34,66
Irlanda,2005,112.99,66
Irlanda,2006,104.38,64
Irlanda,2007,99.89,65
Irlanda,2008,104.18,71
Irlanda,2009,107.69,74
Irlanda,2010,101.95,70
Irlanda,2011,90.05,66
Irlanda,2012,89.2,67
Irlanda,2013,82.55,63
Irlanda,2014,77.06,62
Irlanda,2015,59.21,49
Irlanda,2016,62.58,53
Irlanda,2017,56.22,48
Irlanda,2018,52.61,47
Irlanda,2019,50.79,48
Irlanda,2020,44.24,44
Irlanda,2021,38.54,39
Irlanda,2022,33.74,39
Irlanda,2023,34.19,44
Islândia,1995,441.49,189
Islândia,1996,451.73,195
Islândia,1997,414.77,185
Islândia,1998,415.89,192
Islândia,1999,445.66,218
Islândia,2000,491.68,252
Islândia,2001,436.89,229
Islândia,2002,441.23,239
Islândia,2003,436.69,237
Islândia,2004,398.11,223
Islândia,2005,379.22,221
Islândia,2006,441.6,269
Islândia,2007,488.46,320
Islândia,2008,532.41,361
Islândia,2009,585.05,403
Islândia,2010,585.2,403
Islândia,2011,616.63,451
Islândia,2012,589.54,440
Islândia,2013,587.04,448
Islândia,2014,564.28,456
Islândia,2015,501.76,415
Islândia,2016,455,383
Islândia,2017,459.51,394
Islândia,2018,485.5,434
Islândia,2019,451.45,425
Islândia,2020,460.94,454
Islândia,2021,423.65,429
Itália,1995,153.1,65
Itália,1996,146.61,63
Itália,1997,145.39,65
Itália,1998,143.67,66
Itália,1999,141.45,69
Itália,2000,137.23,70
