Pais,Ano,Valor,Var_EU
Itália,2001,133.14,70
Itália,2002,131.96,71
Itália,2003,135.53,74
Itália,2004,134.63,75
Itália,2005,133.54,78
Itália,2006,126.29,77
Itália,2007,120.12,79
Itália,2008,115.25,78
Itália,2009,112.81,78
Itália,2010,113.55,78
Itália,2011,106.72,78
Itália,2012,103.52,77
Itália,2013,101.2,77
Itália,2014,95.76,77
Itália,2015,97.39,81
Itália,2016,92.58,78
Itália,2017,93.18,80
Itália,2018,90.26,81
Itália,2019,87.23,82
Itália,2020,85.37,84
Itália,2021,83.21,84
Itália,2022,72.35,84
Itália,2023,65.53,84
Lituânia,1995,495.44,212
Lituânia,1996,493.13,213
Lituânia,1997,428.26,191
Lituânia,1998,413.68,191
Lituânia,1999,352.83,172
Lituânia,2000,302.41,155
Lituânia,2001,312.85,164
Lituânia,2002,306.92,166
Lituânia,2003,279.72,152
Lituânia,2004,265.89,149
Lituânia,2005,231.06,134
Lituânia,2006,210.76,128
Lituânia,2007,199.41,130
Lituânia,2008,188.89,128
Lituânia,2009,206.71,142
Lituânia,2010,155.35,107
Lituânia,2011,146.17,107
Lituânia,2012,139.05,104
Lituânia,2013,125.14,95
Lituânia,2014,119.96,97
Lituânia,2015,120.27,99
Lituânia,2016,122.25,103
Lituânia,2017,119.99,103
Lituânia,2018,115.18,103
Lituânia,2019,107.85,101
Lituânia,2020,105.5,104
Lituânia,2021,98.91,100
Lituânia,2022,81.29,94
Lituânia,2023,76.62,98
Luxemburgo,1995,253.39,108
Luxemburgo,1996,242.92,105
Luxemburgo,1997,224.34,100
Luxemburgo,1998,209.02,97
Luxemburgo,1999,192.17,94
Luxemburgo,2000,183.05,94
Luxemburgo,2001,188.01,98
Luxemburgo,2002,187.71,102
Luxemburgo,2003,189.86,103
Luxemburgo,2004,194.38,109
Luxemburgo,2005,183.28,107
Luxemburgo,2006,159.44,97
Luxemburgo,2007,143.69,94
Luxemburgo,2008,134.49,91
Luxemburgo,2009,133.8,92
Luxemburgo,2010,133.97,92
Luxemburgo,2011,125.25,92
Luxemburgo,2012,117.75,88
Luxemburgo,2013,109.68,84
Luxemburgo,2014,100.59,81
Luxemburgo,2015,94.61,78
Luxemburgo,2016,91.44,77
Luxemburgo,2017,91.96,79
Luxemburgo,2018,93.81,84
Luxemburgo,2019,92.87,87
Luxemburgo,2020,80.7,79
Luxemburgo,2021,75.83,77
Luxemburgo,2022,64.32,74
Luxemburgo,2023,61.55,79
Letónia,1995,430.11,184
Letónia,1996,399.71,173
Letónia,1997,354.12,158
Letónia,1998,318.24,147
Letónia,1999,280.35,137
Letónia,2000,251.17,129
Letónia,2001,253.1,133
Letónia,2002,233.93,127
Letónia,2003,229.95,125
Letónia,2004,215.63,121
Letónia,2005,198.23,115
Letónia,2006,187.3,114
Letónia,2007,168.73,110
Letónia,2008,155.64,105
Letónia,2009,178.63,123
Letónia,2010,177.27,122
Letónia,2011,160.72,118
Letónia,2012,155.23,116
Letónia,2013,148.31,113
Letónia,2014,142.72,115
Letónia,2015,135.1,112
Letónia,2016,134.03,113
Letónia,2017,130.48,112
Letónia,2018,124.01,111
Letónia,2019,123.29,116
Letónia,2020,114.94,113
Letónia,2021,113.16,114
Letónia,2022,99.36,115
Letónia,2023,91.23,117
Montenegro,2006,225.31,137
Montenegro,2007,188.81,124
Montenegro,2008,186.41,126
Montenegro,2009,158.67,109
Montenegro,2010,176.63,121
Montenegro,2011,169.56,124
Montenegro,2012,168.41,126
Montenegro,2013,149.26,114
Montenegro,2014,142.19,115
Montenegro,2015,139.48,115
Montenegro,2016,125.81,106
Montenegro,2017,123.27,106
Montenegro,2018,118.36,106
Montenegro,2019,113.91,107
Montenegro,2020,122.66,121
Montenegro,2021,114.19,116
Montenegro,2022,97.83,113
Macedónia do Norte,2000,260.6,134
Macedónia do Norte,2001,255.25,134
Macedónia do Norte,2002,241.44,131
Macedónia do Norte,2003,253.83,138
Macedónia do Norte,2004,231.73,130
Macedónia do Norte,2005,223.27,130
Macedónia do Norte,2006,210.43,128
Macedónia do Norte,2007,205.5,134
Macedónia do Norte,2008,181.46,123
Macedónia do Norte,2009,165.27,114
Macedónia do Norte,2010,163.09,112
Macedónia do Norte,2011,174.14,127
Macedónia do Norte,2012,165.69,124
Macedónia do Norte,2013,146.79,112
Macedónia do Norte,2014,136.01,110
Macedónia do Norte,2015,128.75,106
Macedónia do Norte,2016,124.16,104
Macedónia do Norte,2017,123.48,106
Macedónia do Norte,2018,109.62,98
Macedónia do Norte,2019,116,109
Macedónia do Norte,2020,109.74,108
Macedónia do Norte,2021,103.28,104
Macedónia do Norte,2022,99.71,115
Malta,1995,189.48,81
Malta,1996,168.17,73
Malta,1997,202.11,90
Malta,1998,154.47,71
Malta,1999,158.45,77
Malta,2000,248.65,127
Malta,2001,269.2,141
Malta,2002,248.53,135
Malta,2003,268.86,146
Malta,2004,271.94,152
Malta,2005,216.88,126
Malta,2006,225.84,138
Malta,2007,224.27,147
Malta,2008,223.09,151
Malta,2009,243.17,168
Malta,2010,263.25,181
Malta,2011,248.83,182
Malta,2012,227.42,170
Malta,2013,203.66,155
Malta,2014,193.47,156
Malta,2015,187.28,155
Malta,2016,190.88,161
Malta,2017,201.58,173
Malta,2018,193.19,173
Malta,2019,187.87,177
Malta,2020,179,176
Malta,2021,143.93,146
Malta,2022,148.57,172
Malta,2023,139.49,179
Países Baixos,1995,285.43,122
Países Baixos,1996,281.62,122
Países Baixos,1997,263.63,118
Países Baixos,1998,249.42,115
Países Baixos,1999,232.2,113
Países Baixos,2000,216.77,111
Países Baixos,2001,214.13,112
Países Baixos,2002,208.39,113
Países Baixos,2003,213.05,116
Países Baixos,2004,207.89,116
Países Baixos,2005,196.73,114
Países Baixos,2006,186.2,113
Países Baixos,2007,174.63,114
Países Baixos,2008,165.34,112
Países Baixos,2009,169.71,117
Países Baixos,2010,175.54,121
Países Baixos,2011,163.33,119
Países Baixos,2012,160.2,119
Países Baixos,2013,153.3,117
Países Baixos,2014,146.26,118
Países Baixos,2015,142.51,118
Países Baixos,2016,143.21,120
Países Baixos,2017,138.19,119
Países Baixos,2018,129.79,116
Países Baixos,2019,124.64,117
Países Baixos,2020,120.14,118
Países Baixos,2021,111.81,113
Países Baixos,2022,92.84,107
Países Baixos,2023,84.17,108
Noruega,1995,265.67,113
Noruega,1996,232.85,101
Noruega,1997,233.58,104
Noruega,1998,247.22,114
Noruega,1999,235.69,115
Noruega,2000,191.25,98
Noruega,2001,198.59,104
Noruega,2002,182.85,99
Noruega,2003,191.87,104
Noruega,2004,184.07,103
Noruega,2005,167.21,97
Noruega,2006,151.48,92
Noruega,2007,138.12,90
Noruega,2008,138,93
Noruega,2009,153.33,106
Noruega,2010,153.47,106
Noruega,2011,125.62,92
Noruega,2012,126.47,94
Noruega,2013,130.73,100
Noruega,2014,121.45,98
Noruega,2015,118.05,98
Noruega,2016,136.61,115
Noruega,2017,132.67,114
Noruega,2018,123.2,110
Noruega,2019,120.38,113
Noruega,2020,125.7,124
Noruega,2021,98.72,100
Noruega,2022,64.21,74
Polónia,1995,400.73,171
Polónia,1996,382.64,166
Polónia,1997,354.18,158
Polónia,1998,312.88,145
Polónia,1999,286.99,140
Polónia,2000,262.78,135
Polónia,2001,254.75,133
Polónia,2002,240.11,130
Polónia,2003,236.42,128
Polónia,2004,219.23,123
Polónia,2005,213.32,124
Polónia,2006,212.21,129
Polónia,2007,192.31,126
Polónia,2008,181.36,123
Polónia,2009,170.07,117
Polónia,2010,168.45,116
Polónia,2011,157.44,115
Polónia,2012,146.87,109
Polónia,2013,147.07,112
Polónia,2014,136.95,111
Polónia,2015,130.35,108
Polónia,2016,134.73,113
Polónia,2017,134.07,115
Polónia,2018,132.38,118
Polónia,2019,120.06,113
Polónia,2020,116.18,114
Polónia,2021,112.87,114
Polónia,2022,97.46,113
Polónia,2023,86.97,112
Portugal,1995,175.35,75
Portugal,1996,165.38,72
Portugal,1997,165.76,74
Portugal,1998,168.66,78
Portugal,1999,170.33,83
Portugal,2000,161.42,83
Portugal,2001,155.41,81
Portugal,2002,155.83,84
Portugal,2003,147.96,80
Portugal,2004,148.99,83
Portugal,2005,143.34,83
Portugal,2006,129.59,79
Portugal,2007,124.61,82
Portugal,2008,119.56,81
Portugal,2009,121.51,84
Portugal,2010,113.73,78
Portugal,2011,115.4,84
Portugal,2012,111.73,83
Portugal,2013,109.18,83
Portugal,2014,108.78,88
Portugal,2015,109.91,91
Portugal,2016,107.19,90
Portugal,2017,108.99,94
Portugal,2018,102.1,91
Portugal,2019,98.15,92
Portugal,2020,93.36,92
Portugal,2021,87.44,88
Portugal,2022,80.51,93
Portugal,2023,70.13,90
Roménia,1995,453.62,194
Roménia,1996,435.43,188
Roménia,1997,428.76,191
Roménia,1998,397.16,184
Roménia,1999,346.31,169
Roménia,2000,337.15,173
Roménia,2001,309.75,162
Roménia,2002,300.39,163
Roménia,2003,298.19,162
Roménia,2004,249.72,140
Roménia,2005,230.78,134
Roménia,2006,205.98,125
Roménia,2007,176.38,115
Roménia,2008,148.42,101
Roménia,2009,136.09,94
Roménia,2010,131.68,91
Roménia,2011,126.69,93
Roménia,2012,119.31,89
Roménia,2013,112.45,86
Roménia,2014,107.58,87
Roménia,2015,103.62,86
Roménia,2016,97.29,82
Roménia,2017,92.6,79
Roménia,2018,86.03,77
Roménia,2019,78.45,74
Roménia,2020,76.25,75
Roménia,2021,74.77,76
Roménia,2022,62.88,73
Roménia,2023,53.96,69
Sérvia,2000,361.11,185
Sérvia,2001,367.44,192
Sérvia,2002,355.79,193
Sérvia,2003,353.61,192
Sérvia,2004,349.73,196
Sérvia,2005,286.85,167
Sérvia,2006,283.76,173
Sérvia,2007,253.52,166
Sérvia,2008,234.23,159
Sérvia,2009,219.84,152
Sérvia,2010,221.02,152
Sérvia,2011,220.33,161
Sérvia,2012,197.26,147
Sérvia,2013,197.67,151
Sérvia,2014,178.54,144
Sérvia,2015,194.8,161
Sérvia,2016,198.76,167
Sérvia,2017,196.79,169
Sérvia,2018,185.31,166
Sérvia,2019,173.57,163
Sérvia,2020,180.6,178
Sérvia,2021,167.02,169
Sérvia,2022,158.57,183
Suécia,1995,301.57,129
Suécia,1996,293.53,127
Suécia,1997,281.12,126
Suécia,1998,276.34,128
Suécia,1999,254.37,124
Suécia,2000,224.73,115
Suécia,2001,235.98,124
Suécia,2002,233.48,126
Suécia,2003,223.37,121
Suécia,2004,219.69,123
Suécia,2005,210.97,123
Suécia,2006,191.94,117
Suécia,2007,176.2,115
Suécia,2008,172.27,117
Suécia,2009,166.83,115
Suécia,2010,176.02,121
Suécia,2011,168.41,123
Suécia,2012,164.91,123
Suécia,2013,161.27,123
Suécia,2014,156.83,127
Suécia,2015,142.2,118
Suécia,2016,147.42,124
Suécia,2017,148.09,127
Suécia,2018,144.2,129
Suécia,2019,135.77,128
Suécia,2020,124.52,123
Suécia,2021,119.92,121
Suécia,2022,110.1,127
Suécia,2023,102.88,132
Eslovénia,1995,268.04,115
Eslovénia,1996,263.72,114
Eslovénia,1997,260.3,116
Eslovénia,1998,245.55,114
Eslovénia,1999,229.34,112
Eslovénia,2000,222.05,114
Eslovénia,2001,225.45,118
Eslovénia,2002,213.69,116
Eslovénia,2003,207.19,112
Eslovénia,2004,198,111
Eslovénia,2005,195.5,114
Eslovénia,2006,184.88,113
Eslovénia,2007,174.93,114
Eslovénia,2008,174.97,118
Eslovénia,2009,169.31,117
Eslovénia,2010,170.05,117
Eslovénia,2011,165.57,121
Eslovénia,2012,160.36,120
Eslovénia,2013,155.32,118
Eslovénia,2014,146.35,118
Eslovénia,2015,141.34,117
Eslovénia,2016,142.08,120
Eslovénia,2017,137.73,118
Eslovénia,2018,130.42,116
Eslovénia,2019,120.51,113
Eslovénia,2020,115.12,113
Eslovénia,2021,107.87,109
Eslovénia,2022,95.11,110
Eslovénia,2023,82.27,105
Eslováquia,1995,449.35,192
Eslováquia,1996,418,181
Eslováquia,1997,396.39,177
Eslováquia,1998,366.78,170
Eslováquia,1999,364.6,178
Eslováquia,2000,348.52,179
Eslováquia,2001,335.99,176
Eslováquia,2002,318.28,172
Eslováquia,2003,298.39,162
Eslováquia,2004,274.3,154
Eslováquia,2005,256.5,149
Eslováquia,2006,229.59,140
Eslováquia,2007,197.12,129
Eslováquia,2008,184.52,125
Eslováquia,2009,177.93,123
Eslováquia,2010,177.91,122
Eslováquia,2011,169.53,124
Eslováquia,2012,160.36,120
Eslováquia,2013,159.14,121
Eslováquia,2014,142.73,115
Eslováquia,2015,143.36,119
Eslováquia,2016,150.93,127
Eslováquia,2017,158.29,136
Eslováquia,2018,150.68,135
Eslováquia,2019,141.19,133
Eslováquia,2020,133.51,131
Eslováquia,2021,134.77,136
Eslováquia,2022,119.78,138
Eslováquia,2023,109.63,141
Turquia,1998,153.89,71
Turquia,1998,153.89,71
Turquia,1999,154.4,75
Turquia,1999,154.4,75
Turquia,2000,153.6,79
Turquia,2000,153.6,79
Turquia,2001,144.5,76
Turquia,2001,144.5,76
Turquia,2002,150.86,82
Turquia,2002,150.86,82
Turquia,2003,152.44,83
Turquia,2003,152.44,83
Turquia,2004,137.85,77
Turquia,2004,137.85,77
Turquia,2005,129.36,75
Turquia,2005,129.36,75
Turquia,2006,126.24,77
Turquia,2006,126.24,77
Turquia,2007,124.21,81
Turquia,2007,124.21,81
Turquia,2008,113.26,77
Turquia,2008,113.26,77
Turquia,2009,119.05,82
Turquia,2009,119.05,82
Turquia,2010,110.14,76
Turquia,2010,110.14,76
Turquia,2011,104.29,76
Turquia,2011,104.29,76
Turquia,2012,103.12,77
Turquia,2012,103.12,77
Turquia,2013,93.49,71
Turquia,2013,93.49,71
Turquia,2014,92.5,75
Turquia,2014,92.5,75
Turquia,2015,91.63,76
Turquia,2015,91.63,76
Turquia,2016,95.6,80
Turquia,2016,95.6,80
Turquia,2017,97.29,83
Turquia,2017,97.29,83
Turquia,2018,95.41,85
Turquia,2018,95.41,85
Turquia,2019,98.82,93
Turquia,2019,98.82,93
Turquia,2020,97.27,96
Turquia,2020,97.27,96
Turquia,2021,96.71,98
Turquia,2021,96.71,98
Turquia,2022,83.78,97
Turquia,2022,83.78,97
Reino Unido,1995,226.16,97
Reino Unido,1996,218.59,95
Reino Unido,1997,204.72,91
Reino Unido,1998,202.6,94
Reino Unido,1999,195.31,95
Reino Unido,2000,182.16,93
Reino Unido,2001,174.13,91
Reino Unido,2002,164.93,89
Reino Unido,2003,160,87
Reino Unido,2004,150.36,84
Reino Unido,2005,146.93,85
Reino Unido,2006,139.22,85
Reino Unido,2007,131.37,86
Reino Unido,2008,127.3,86
Reino Unido,2009,125.91,87
Reino Unido,2010,124.67,86
Reino Unido,2011,114.62,84
Reino Unido,2012,113.53,85
Reino Unido,2013,108.98,83
Reino Unido,2014,99.6,80
Reino Unido,2015,97.16,80
Reino Unido,2016,95.02,80
Reino Unido,2017,90.95,78
Reino Unido,2018,88.72,79
Reino Unido,2019,84.94,80
